NEWID;AGE_REF;AGE2;BATHRMQ;BEDROOMQ;BLS_URBN;FAM_SIZE;INC_RANK;RENTEQVX;VEHQ
3645604;31;31;1;2;1;3;0.9275003;;0
3645624;77;71;2;4;1;2;0.5808387;2500;1
3645644;58;55;1;1;1;3;0.328773;;0
3645654;61;63;1;5;1;2;0.9836883;3000;2
3645664;60;;2;2;1;1;0.1553527;;1
3645674;76;;1;2;1;2;0.3689459;;0
3645684;80;;1;2;1;2;0.5225723;650;2
3645714;66;73;2;3;1;2;0.4072605;1400;2
3645744;34;38;2;2;1;3;0.6444213;850;5
3645774;44;41;1;2;1;5;0.4048483;;1
3645794;61;;1;2;1;1;0.3082501;;1
3645814;38;33;2;2;1;3;0.8767421;;2
3645844;55;38;3;3;1;2;0.9409723;1900;6
3645864;47;;1;2;1;2;0.0427149;;1
3645884;39;46;3;4;1;4;0.7463464;1700;4
3645904;30;30;3;4;1;4;0.8127111;1400;2
3645914;50;54;1;3;1;4;0.6526757;2100;0
3645944;33;33;1;2;1;5;0.3807227;1000;2
3646014;32;;1;3;1;6;0.9269269;2700;3
3646024;47;43;2;4;1;5;0.8568244;2000;2
3646044;25;;2;2;1;2;0.5844313;;2
3646054;24;25;2;3;1;3;0.6525109;1300;3
3646094;53;;1;2;1;1;0.2847368;;1
3646114;54;;1;1;1;1;0.3530068;;1
3646124;48;;1;1;1;1;0.4640746;;1
3646164;27;;1;2;1;3;0.1617629;;0
3646174;36;34;3;4;1;4;0.9621566;2700;3
3646184;35;;3;4;1;3;0.9754846;3000;0
3646224;58;57;1;2;1;4;0.50848;1821;0
3646234;50;44;2;3;1;5;0.0489133;1933;4
3646254;56;;2;4;1;2;0.1367633;1350;2
3646264;58;;1;2;1;1;0.1140716;800;1
3646314;44;;1;2;1;2;0.5290817;;0
3646374;42;36;3;4;1;3;0.9058486;6442;2
3646384;65;;2;3;1;1;0.3976238;1200;2
3646394;33;34;3;3;1;2;0.8418631;1800;1
3646404;39;;2;4;1;5;0.4710542;1100;1
3646424;56;;1;1;1;1;0.133405;;0
3646444;51;49;2;3;1;3;0.8374579;2000;2
3646454;54;;2;2;1;2;0.3614905;;2
3646474;59;;1;1;1;1;0.3076079;400;1
3646494;74;78;2;3;1;2;0.6806923;2700;2
3646554;32;28;3;5;1;4;0.815045;2500;3
3646564;65;78;2;2;1;2;0.5992089;1000;2
3646574;79;;1;4;1;1;0.0901173;1715;0
3646614;51;;3;3;1;3;0.6998208;1800;1
3646664;60;;1;1;1;1;0.0604685;;0
3646674;50;;2;3;1;2;0.3758724;700;3
3646694;32;;1;2;1;1;0.5380178;650;3
3646704;63;;2;3;1;1;0.3736259;1500;1
3646714;30;29;1;2;1;2;0.0396219;;1
3646734;62;75;2;3;1;3;0.0620924;1539;0
3646764;40;36;3;4;1;6;0.8560989;;2
3646774;63;;2;3;1;3;0.4634287;1200;2
3646804;61;63;2;3;1;2;0.7570621;1000;2
3646814;52;55;2;4;1;3;0.1293454;2590;3
3646824;68;71;2;3;1;2;0.5300217;1500;2
3646834;34;;1;2;1;2;0.718151;;1
3646844;66;;1;2;1;1;0.4264183;650;1
3646854;43;;1;2;1;2;0.7593985;;5
3646894;70;;2;3;2;1;0.0904089;1200;0
3646904;77;;2;5;1;1;0.1145627;1100;1
3646914;73;;2;3;2;1;0.3948146;1500;4
3646924;26;;2;3;1;2;0.4888424;1500;4
3646934;51;;1;1;1;1;0.2566721;2000;1
3646944;68;;1;2;1;1;0.4628688;2500;1
3646954;68;;2;3;1;2;0.5349946;2852;1
3646964;64;;1;3;1;1;0.3328342;1000;1
3647024;62;62;2;3;1;3;0.0691196;2000;2
3647044;64;66;2;3;1;3;0.1887729;;2
3647064;48;50;2;3;1;3;0.7717583;1300;3
3647074;55;56;3;4;1;2;0.0146739;3824;6
3647114;47;47;2;3;1;4;0.0190677;1500;4
3647134;29;26;2;4;2;4;0.4560828;565;1
3647144;26;;1;2;1;1;0.2172105;;0
3647184;50;;1;2;1;1;0.2229674;;1
3647204;59;48;1;4;1;2;0.582495;850;2
3647214;70;;1;1;1;1;0.2704073;;0
3647224;59;63;3;4;1;3;0.9616206;1800;5
3647244;40;;1;3;1;4;0.375421;;0
3647264;71;;1;2;1;1;0.7513426;;1
3647274;47;;2;4;1;1;0.7591472;2500;5
3647284;66;;2;4;1;1;0.7148364;1981;3
3647294;62;44;1;5;1;5;0.8107049;1100;4
3647314;47;45;4;5;1;4;0.0314053;2000;2
3647324;57;;2;4;1;1;0.6001674;;1
3647344;38;37;2;4;1;5;0.8594654;;3
3647424;52;61;1;2;1;2;0.3819952;1200;1
3647494;52;36;2;3;1;3;0.3159541;850;1
3647504;43;42;2;3;1;2;0.8398125;1200;4
3647524;69;;1;1;1;1;0.4743493;650;1
3647544;56;;1;2;1;1;0.3724698;1000;0
3647554;22;;1;3;1;1;0.1321898;800;0
3647584;43;;2;2;1;1;0.5022174;1400;1
3647594;61;46;2;4;1;4;0.860733;3000;4
3647614;52;58;2;3;1;3;0.5587763;500;2
3647654;35;33;2;3;1;4;0.6597479;1000;2
3647664;53;55;3;5;1;6;0.3142207;;3
3647674;66;;1;1;1;1;0.3226125;;1
3647684;61;;2;3;1;3;0.0930251;400;1
3647714;80;79;2;3;2;2;0.2851051;1200;5
3647734;55;;1;2;1;2;0.7221043;;2
3647744;59;56;1;3;1;2;0.8657143;2000;6
3647764;88;;2;6;2;1;0.1584441;2339;2
3647774;48;;2;3;1;2;0.9796266;800;1
3647794;57;;1;2;1;1;0.0010199;1204;0
3647814;62;64;3;3;1;3;0.971897;2000;1
3647824;62;50;3;3;1;11;0.7857657;;4
3647844;51;57;6;5;1;3;0.9699082;1500;4
3647854;26;;3;4;1;1;0.39034;1200;1
